,Address,Rent,Beds,Baths,Type,Area_in_sqft,Rent_per_sqft,Rent_category,Frequency,Furnishing,Purpose,Posted_date,Age_of_listing_in_days,Location,City,Latitude,Longitude
12,"Noya, Yas Island, Abu Dhabi",174000,3,4,Townhouse,1816,95.81497797356828,High,Yearly,Unfurnished,For Rent,00:00.0,27,Yas Island,Abu Dhabi,24.4940223,54.6073721
13,"West Yas, Yas Island, Abu Dhabi",330000,5,7,Villa,5907,55.865921787709496,High,Yearly,Unfurnished,For Rent,00:00.0,30,Yas Island,Abu Dhabi,24.4940223,54.6073721
14,"Contemporary Style, Al Reef Villas, Al Reef, Abu Dhabi",149000,5,6,Villa,3750,39.73333333333333,High,Yearly,Unfurnished,For Rent,00:00.0,19,Al Reef,Abu Dhabi,24.4664366,54.65689142777212
15,"Fairmont Marina Residences, The Marina, Abu Dhabi",150000,1,2,Apartment,1022,146.7710371819961,High,Yearly,Furnished,For Rent,00:00.0,34,The Marina,Abu Dhabi,24.479853,54.319951
16,"Building 45, Al Reef Downtown, Al Reef, Abu Dhabi",80000,2,2,Apartment,1477,54.16384563303995,Medium,Yearly,Unfurnished,For Rent,00:00.0,38,Al Reef,Abu Dhabi,24.4664366,54.65689142777212
17,"Marina Heights I, Marina Heights, Marina Square, Al Reem Island, Abu Dhabi",125000,3,4,Apartment,1744,71.67431193,Medium,Yearly,Unfurnished,For Rent,00:00.0,142,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
18,"Contemporary Style, Al Reef Villas, Al Reef, Abu Dhabi",129995,4,5,Villa,2828,45.96711456859972,Medium,Yearly,Unfurnished,For Rent,00:00.0,41,Al Reef,Abu Dhabi,24.4664366,54.65689142777212
19,"Building 26, Al Reef Downtown, Al Reef, Abu Dhabi",62900,2,2,Apartment,1237,50.84882780921585,Low,Yearly,Unfurnished,For Rent,00:00.0,19,Al Reef,Abu Dhabi,24.4664366,54.65689142777212
20,"Noya, Yas Island, Abu Dhabi",145000,2,4,Townhouse,1821,79.62657880285558,High,Yearly,Unfurnished,For Rent,00:00.0,54,Yas Island,Abu Dhabi,24.4940223,54.6073721
21,"Al Heel Tower, Al Khalidiyah, Abu Dhabi",95000,3,3,Apartment,1689,56.24629958555358,Medium,Yearly,Unfurnished,For Rent,00:00.0,448,Al Khalidiyah,Abu Dhabi,24.46934445,54.34880593499775
22,"Bloom Central Residential, Bloom Central, Al Tibbiya, Abu Dhabi",140000,3,3,Apartment,2195,63.78132118451025,Medium,Yearly,Unfurnished,For Rent,00:00.0,46,Al Tibbiya,Abu Dhabi,,
23,"Water's Edge, Yas Island, Abu Dhabi",50000,0,1,Apartment,490,102.04081632653062,Low,Yearly,Unfurnished,For Rent,00:00.0,23,Yas Island,Abu Dhabi,24.4940223,54.6073721
24,"Noya, Yas Island, Abu Dhabi",180000,3,4,Townhouse,1816,99.11894273127751,High,Yearly,Unfurnished,For Rent,00:00.0,53,Yas Island,Abu Dhabi,24.4940223,54.6073721
25,"Al Maha Tower, Marina Square, Al Reem Island, Abu Dhabi",60000,1,2,Apartment,861,69.68641114982579,Low,Yearly,Unfurnished,For Rent,00:00.0,22,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
26,"Al Waha Tower, Al Khalidiyah, Abu Dhabi",85000,3,3,Apartment,1819,46.728971962616825,Medium,Yearly,Unfurnished,For Rent,00:00.0,448,Al Khalidiyah,Abu Dhabi,24.46934445,54.34880593499775
27,"Al Heel Tower, Al Khalidiyah, Abu Dhabi",75000,2,2,Apartment,1228,61.074918566775246,Medium,Yearly,Unfurnished,For Rent,00:00.0,448,Al Khalidiyah,Abu Dhabi,24.46934445,54.34880593499775
28,"Noya, Yas Island, Abu Dhabi",150000,2,4,Townhouse,1335,112.35955056179776,High,Yearly,Unfurnished,For Rent,00:00.0,66,Yas Island,Abu Dhabi,24.4940223,54.6073721
29,"Al Reef Downtown, Al Reef, Abu Dhabi",47999,1,2,Apartment,850,56.46941176470588,Low,Yearly,Unfurnished,For Rent,00:00.0,68,Al Reef,Abu Dhabi,24.4664366,54.65689142777212
30,"Noya, Yas Island, Abu Dhabi",170000,3,4,Townhouse,1816,93.61233480176212,High,Yearly,Unfurnished,For Rent,00:00.0,15,Yas Island,Abu Dhabi,24.4940223,54.6073721
31,"Sun Tower, Shams Gate District, Shams Abu Dhabi, Al Reem Island, Abu Dhabi",104999,2,2,Apartment,1240,84.6766129,Medium,Yearly,Unfurnished,For Rent,00:00.0,97,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
32,"Ocean Terrace Residence, Marina Square, Al Reem Island, Abu Dhabi",109900,2,3,Apartment,1507,72.92634372926344,Medium,Yearly,Unfurnished,For Rent,00:00.0,31,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
33,"Bloom Marina, Al Bateen, Abu Dhabi",105000,2,3,Apartment,1260,83.33333333333333,Medium,Yearly,Unfurnished,For Rent,00:00.0,448,Al Bateen,Abu Dhabi,24.2048941,55.6196612
34,"The Cedars, Yas Acres, Yas Island, Abu Dhabi",260000,3,4,Townhouse,3390,76.69616519174042,High,Yearly,Unfurnished,For Rent,00:00.0,75,Yas Island,Abu Dhabi,24.4940223,54.6073721
35,"Building 20, Al Reef Downtown, Al Reef, Abu Dhabi",65999,2,2,Apartment,1237,53.35408245755861,Medium,Yearly,Unfurnished,For Rent,00:00.0,125,Al Reef,Abu Dhabi,24.4664366,54.65689142777212
36,"Noya, Yas Island, Abu Dhabi",175000,3,4,Townhouse,1753,99.82886480319452,High,Yearly,Unfurnished,For Rent,00:00.0,77,Yas Island,Abu Dhabi,24.4940223,54.6073721
37,"Al Tharwaniyah Community, Al Raha Gardens, Abu Dhabi",235000,5,8,Villa,6217,37.79958179186102,High,Yearly,Unfurnished,For Rent,00:00.0,138,Al Raha Gardens,Abu Dhabi,24.42772055,54.55168867992076
38,"Zone 36, Mohammed Bin Zayed City, Abu Dhabi",43999,1,1,Apartment,1200,36.66583333333333,Low,Yearly,Unfurnished,For Rent,00:00.0,142,Mohammed Bin Zayed City,Abu Dhabi,24.3339589,54.5535564
39,"Desert Style, Al Reef Villas, Al Reef, Abu Dhabi",75000,2,3,Villa,1210,61.98347107438016,Medium,Yearly,Unfurnished,For Rent,00:00.0,150,Al Reef,Abu Dhabi,24.4664366,54.65689142777212
40,"Pixel, Makers District, Al Reem Island, Abu Dhabi",180000,3,4,Apartment,1567,114.8691767708998,High,Yearly,Unfurnished,For Rent,00:00.0,101,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
41,"Mediterranean Style, Al Reef Villas, Al Reef, Abu Dhabi",78000,2,3,Villa,1832,42.57641921,Medium,Yearly,Unfurnished,For Rent,00:00.0,152,Al Reef,Abu Dhabi,24.4664366,54.65689142777212
42,"Zone 12, Mohammed Bin Zayed City, Abu Dhabi",140000,4,4,Villa,3716,37.67491926803014,Medium,Yearly,Unfurnished,For Rent,00:00.0,166,Mohammed Bin Zayed City,Abu Dhabi,24.3339589,54.5535564
43,"MSH16, Shakhbout City, Abu Dhabi",135000,5,5,Villa,15480,8.720930232558139,Medium,Yearly,Unfurnished,For Rent,00:00.0,166,Shakhbout City,Abu Dhabi,24.3594999,54.63233435459003
44,"Al Reef Villas, Al Reef, Abu Dhabi",100000,3,4,Villa,2424,41.254125412541256,Medium,Yearly,Unfurnished,For Rent,00:00.0,181,Al Reef,Abu Dhabi,24.4664366,54.65689142777212
45,"Madinat Al Riyadh, Abu Dhabi",17999,0,1,Apartment,650,27.69076923076923,Low,Yearly,Unfurnished,For Rent,00:00.0,173,Madinat Al Riyadh,Abu Dhabi,24.353232,54.749892
46,"Bloom Central Residential, Bloom Central, Al Tibbiya, Abu Dhabi",115000,2,2,Apartment,1646,69.86634264884569,Medium,Yearly,Unfurnished,For Rent,00:00.0,433,Al Tibbiya,Abu Dhabi,,
47,"Fairmont Marina Residences, The Marina, Abu Dhabi",250000,2,2,Apartment,1783,140.21312394840157,High,Yearly,Furnished,For Rent,00:00.0,136,The Marina,Abu Dhabi,24.479853,54.319951
48,"Noya, Yas Island, Abu Dhabi",175000,3,4,Townhouse,1851,94.54349000540248,High,Yearly,Unfurnished,For Rent,00:00.0,35,Yas Island,Abu Dhabi,24.4940223,54.6073721
49,"Arabian Style, Al Reef Villas, Al Reef, Abu Dhabi",109998,3,4,Villa,2424,45.37871287128713,Medium,Yearly,Unfurnished,For Rent,00:00.0,83,Al Reef,Abu Dhabi,24.4664366,54.65689142777212
50,"Desert Style, Al Reef Villas, Al Reef, Abu Dhabi",130000,3,4,Villa,1874,69.37033084311634,Medium,Yearly,Unfurnished,For Rent,00:00.0,48,Al Reef,Abu Dhabi,24.4664366,54.65689142777212
51,"Noya, Yas Island, Abu Dhabi",144998,2,3,Townhouse,1816,79.84471365638767,High,Yearly,Unfurnished,For Rent,00:00.0,74,Yas Island,Abu Dhabi,24.4940223,54.6073721
52,"Desert Style, Al Reef Villas, Al Reef, Abu Dhabi",105000,3,4,Villa,2424,43.31683168316832,Medium,Yearly,Unfurnished,For Rent,00:00.0,96,Al Reef,Abu Dhabi,24.4664366,54.65689142777212
53,"Madinat Al Riyadh, Abu Dhabi",38000,1,1,Apartment,950,40.0,Low,Yearly,Unfurnished,For Rent,00:00.0,12,Madinat Al Riyadh,Abu Dhabi,24.353232,54.749892
54,"Madinat Al Riyadh, Abu Dhabi",25000,0,1,Apartment,566,44.169611307420496,Low,Yearly,Unfurnished,For Rent,00:00.0,12,Madinat Al Riyadh,Abu Dhabi,24.353232,54.749892
55,"Madinat Al Riyadh, Abu Dhabi",37000,1,2,Apartment,1049,35.27168732125834,Low,Yearly,Unfurnished,For Rent,00:00.0,12,Madinat Al Riyadh,Abu Dhabi,24.353232,54.749892
56,"Madinat Al Riyadh, Abu Dhabi",27000,1,1,Apartment,988,27.327935222672064,Low,Yearly,Unfurnished,For Rent,00:00.0,12,Madinat Al Riyadh,Abu Dhabi,24.353232,54.749892
57,"The Wave, Najmat Abu Dhabi, Al Reem Island, Abu Dhabi",85000,2,3,Apartment,1350,62.96296296296296,Medium,Yearly,Unfurnished,For Rent,00:00.0,14,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
58,"Corniche Area, Abu Dhabi",100000,3,4,Apartment,2000,50.0,Medium,Yearly,Unfurnished,For Rent,00:00.0,58,Corniche Area,Abu Dhabi,24.484107,54.35067
59,"Noya, Yas Island, Abu Dhabi",240000,4,5,Villa,2250,106.66666666666669,High,Yearly,Unfurnished,For Rent,00:00.0,78,Yas Island,Abu Dhabi,24.4940223,54.6073721
60,"Madinat Al Riyadh, Abu Dhabi",18000,0,1,Apartment,700,25.714285714285715,Low,Yearly,Unfurnished,For Rent,00:00.0,12,Madinat Al Riyadh,Abu Dhabi,24.353232,54.749892
61,"Madinat Al Riyadh, Abu Dhabi",16000,0,1,Apartment,699,22.889842632331906,Low,Yearly,Unfurnished,For Rent,00:00.0,12,Madinat Al Riyadh,Abu Dhabi,24.353232,54.749892
62,"Madinat Al Riyadh, Abu Dhabi",35000,1,1,Apartment,1020,34.31372549019608,Low,Yearly,Unfurnished,For Rent,00:00.0,12,Madinat Al Riyadh,Abu Dhabi,24.353232,54.749892
63,"Sigma Tower 2, Sigma Towers, City of Lights, Al Reem Island, Abu Dhabi",80000,2,3,Apartment,1275,62.74509803921568,Medium,Yearly,Unfurnished,For Rent,00:00.0,14,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
64,"Al Muroor, Abu Dhabi",155000,5,5,Villa,5500,28.181818181818183,High,Yearly,Unfurnished,For Rent,00:00.0,13,Al Muroor,Abu Dhabi,24.476252,54.3726749
65,"Madinat Al Riyadh, Abu Dhabi",22000,0,1,Apartment,699,31.473533619456365,Low,Yearly,Unfurnished,For Rent,00:00.0,12,Madinat Al Riyadh,Abu Dhabi,24.353232,54.749892
66,"Madinat Al Riyadh, Abu Dhabi",31000,1,1,Apartment,988,31.37651821862348,Low,Yearly,Unfurnished,For Rent,00:00.0,12,Madinat Al Riyadh,Abu Dhabi,24.353232,54.749892
67,"Madinat Al Riyadh, Abu Dhabi",27000,1,1,Apartment,900,30.0,Low,Yearly,Unfurnished,For Rent,00:00.0,13,Madinat Al Riyadh,Abu Dhabi,24.353232,54.749892
68,"Madinat Al Riyadh, Abu Dhabi",12000,0,1,Apartment,650,18.46153846153846,Low,Yearly,Unfurnished,For Rent,00:00.0,12,Madinat Al Riyadh,Abu Dhabi,24.353232,54.749892
69,"Madinat Al Riyadh, Abu Dhabi",24000,0,1,Apartment,800,30.0,Low,Yearly,Unfurnished,For Rent,00:00.0,13,Madinat Al Riyadh,Abu Dhabi,24.353232,54.749892
70,"Shakhbout City, Abu Dhabi",31000,0,1,Apartment,899,34.48275862068966,Low,Yearly,Furnished,For Rent,00:00.0,14,Shakhbout City,Abu Dhabi,24.3594999,54.63233435459003
71,"Madinat Al Riyadh, Abu Dhabi",23000,0,1,Apartment,700,32.857142857142854,Low,Yearly,Unfurnished,For Rent,00:00.0,13,Madinat Al Riyadh,Abu Dhabi,24.353232,54.749892
72,"Marina Bay By DAMAC, Najmat Abu Dhabi, Al Reem Island, Abu Dhabi",85000,2,3,Apartment,1170,72.64957264957265,Medium,Yearly,Furnished,For Rent,00:00.0,15,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
73,"Marina Bay, City of Lights, Al Reem Island, Abu Dhabi",55000,1,2,Apartment,805,68.32298136645963,Low,Yearly,Unfurnished,For Rent,00:00.0,14,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
74,"Al Mariah Community, Al Raha Gardens, Abu Dhabi",220000,5,6,Villa,6110,36.00654664484452,High,Yearly,Unfurnished,For Rent,00:00.0,16,Al Raha Gardens,Abu Dhabi,24.42772055,54.55168867992076
75,"Rihan Heights Tower A, Rihan Heights Towers, Zayed Sports City, Abu Dhabi",118000,2,3,Apartment,1450,81.37931034482759,Medium,Yearly,Unfurnished,For Rent,00:00.0,14,Zayed Sports City,Abu Dhabi,24.4177935,54.447876
76,"Khalifa City, Abu Dhabi",28000,0,1,Apartment,600,46.66666666666666,Low,Yearly,Unfurnished,For Rent,00:00.0,394,Khalifa City,Abu Dhabi,24.4201314,54.57495352587594
77,"Hamdan Street, Abu Dhabi",50000,1,1,Apartment,1020,49.01960784313726,Low,Yearly,Unfurnished,For Rent,00:00.0,15,Hamdan Street,Abu Dhabi,24.2425603,55.7121184
78,"Al Bahia, Abu Dhabi",240000,6,7,Villa,6500,36.92307692307692,High,Yearly,Unfurnished,For Rent,00:00.0,15,Al Bahia,Abu Dhabi,24.5140484,54.66308214538901
79,"Khalifa City, Abu Dhabi",159999,6,9,Villa,8001,19.99737532808399,High,Yearly,Unfurnished,For Rent,00:00.0,14,Khalifa City,Abu Dhabi,24.4201314,54.57495352587594
80,"Rihan Heights Tower A, Rihan Heights Towers, Zayed Sports City, Abu Dhabi",139000,3,3,Apartment,2100,66.19047619047619,Medium,Yearly,Unfurnished,For Rent,00:00.0,14,Zayed Sports City,Abu Dhabi,24.4177935,54.447876
81,"Oasis Residences One, Oasis Residences, Masdar City, Abu Dhabi",45000,0,1,Apartment,410,109.7560975609756,Low,Yearly,Unfurnished,For Rent,00:00.0,16,Masdar City,Abu Dhabi,24.42748265,54.62348762
82,"Shakhbout City, Abu Dhabi",160000,5,7,Villa,8200,19.51219512195122,High,Yearly,Unfurnished,For Rent,00:00.0,14,Shakhbout City,Abu Dhabi,24.3594999,54.63233435459003
83,"Marina Bay, City of Lights, Al Reem Island, Abu Dhabi",78000,2,3,Apartment,1140,68.42105263157895,Medium,Yearly,Unfurnished,For Rent,00:00.0,14,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
84,"Water's Edge, Yas Island, Abu Dhabi",90000,2,2,Apartment,1172,76.79180887372014,Medium,Yearly,Unfurnished,For Rent,00:00.0,17,Yas Island,Abu Dhabi,24.4940223,54.6073721
85,"Al Najda Street, Abu Dhabi",70000,3,3,Apartment,1760,39.77272727272727,Medium,Yearly,Unfurnished,For Rent,00:00.0,15,Al Najda Street,Abu Dhabi,24.4913003,54.3695437
86,"Madinat Al Riyadh, Abu Dhabi",150000,6,10,Villa,8000,18.75,High,Yearly,Unfurnished,For Rent,00:00.0,16,Madinat Al Riyadh,Abu Dhabi,24.353232,54.749892
87,"Water's Edge, Yas Island, Abu Dhabi",74999,1,1,Apartment,698,107.4484240687679,Medium,Yearly,Unfurnished,For Rent,00:00.0,17,Yas Island,Abu Dhabi,24.4940223,54.6073721
88,"Building 15, Al Reef Downtown, Al Reef, Abu Dhabi",65000,2,2,Apartment,1237,52.54648342764754,Low,Yearly,Unfurnished,For Rent,00:00.0,15,Al Reef,Abu Dhabi,24.4664366,54.65689142777212
89,"Water's Edge, Yas Island, Abu Dhabi",60000,1,2,Apartment,1075,55.81395348837209,Low,Yearly,Unfurnished,For Rent,00:00.0,17,Yas Island,Abu Dhabi,24.4940223,54.6073721
90,"Al Marasy, Al Bateen, Abu Dhabi",140000,2,3,Apartment,1480,94.59459459,Medium,Yearly,Unfurnished,For Rent,00:00.0,18,Al Bateen,Abu Dhabi,24.45138385,54.33796581892305
91,"Muroor Road, Al Muroor, Abu Dhabi",250000,6,8,Villa,6405,39.03200625,High,Yearly,Unfurnished,For Rent,00:00.0,15,Al Muroor,Abu Dhabi,24.476252,54.3726749
92,"Tourist Club Area (TCA), Abu Dhabi",66000,2,2,Apartment,1237,53.35489086499596,Medium,Yearly,Unfurnished,For Rent,00:00.0,16,Tourist Club Area (TCA),Abu Dhabi,24.495946,54.381815
93,"Al Naseem Residence C, Al Naseem, Al Bandar, Al Raha Beach, Abu Dhabi",250000,3,4,Apartment,2335,107.06638115631692,High,Yearly,Unfurnished,For Rent,00:00.0,16,Al Raha Beach,Abu Dhabi,24.48593095,54.60093932996362
94,"Ministries Complex, Al Matar, Abu Dhabi",59900,1,1,Apartment,920,65.10869565,Low,Yearly,Unfurnished,For Rent,00:00.0,29,Al Matar,Abu Dhabi,24.4352701,54.4406788
95,"Al Shamkha, Abu Dhabi",95000,4,4,Apartment,2300,41.30434782608695,Medium,Yearly,Unfurnished,For Rent,00:00.0,15,Al Shamkha,Abu Dhabi,24.3866584,54.7074507
96,"Al Raha Beach, Abu Dhabi",200000,3,5,Apartment,3192,62.65664160401003,High,Yearly,Unfurnished,For Rent,00:00.0,16,Al Raha Beach,Abu Dhabi,24.48593095,54.60093932996362
97,"Al Bateen, Abu Dhabi",190000,6,7,Villa,6200,30.64516129032258,High,Yearly,Unfurnished,For Rent,00:00.0,18,Al Bateen,Abu Dhabi,24.45138385,54.33796581892305
98,"Khalifa City, Abu Dhabi",18000,0,1,Apartment,350,51.42857142857143,Low,Yearly,Unfurnished,For Rent,00:00.0,14,Khalifa City,Abu Dhabi,24.4201314,54.57495352587594
99,"Marina Bay Tower 2, Marina Bay, City of Lights, Al Reem Island, Abu Dhabi",110000,3,4,Apartment,1673,65.75014943,Medium,Yearly,Unfurnished,For Rent,00:00.0,18,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
100,"Khalidiyah Street, Al Khalidiyah, Abu Dhabi",70000,3,4,Apartment,1900,36.84210526,Medium,Yearly,Unfurnished,For Rent,00:00.0,17,Al Khalidiyah,Abu Dhabi,24.46934445,54.34880593499775
101,"Al Marasy, Al Bateen, Abu Dhabi",140000,2,3,Apartment,1575,88.88888888888889,Medium,Yearly,Unfurnished,For Rent,00:00.0,18,Al Bateen,Abu Dhabi,24.45138385,54.33796581892305
102,"Al Raha Lofts, Al Raha Beach, Abu Dhabi",110000,2,3,Apartment,1600,68.75,Medium,Yearly,Furnished,For Rent,00:00.0,22,Al Raha Beach,Abu Dhabi,24.48593095,54.60093932996362
103,"Ansam 1, Ansam, Yas Island, Abu Dhabi",80000,1,2,Apartment,950,84.21052631578948,Medium,Yearly,Unfurnished,For Rent,00:00.0,17,Yas Island,Abu Dhabi,24.4940223,54.6073721
104,"Khalifa City, Abu Dhabi",150000,5,6,Villa,2500,60.0,High,Yearly,Unfurnished,For Rent,00:00.0,17,Khalifa City,Abu Dhabi,24.4201314,54.57495352587594
105,"Hamdan Street, Abu Dhabi",42000,1,1,Apartment,850,49.41176470588236,Low,Yearly,Unfurnished,For Rent,00:00.0,16,Hamdan Street,Abu Dhabi,24.2479318,55.717251
106,"Rawdhat Abu Dhabi, Abu Dhabi",72000,2,2,Apartment,1400,51.42857142857143,Medium,Yearly,Unfurnished,For Rent,00:00.0,17,Rawdhat Abu Dhabi,Abu Dhabi,24.4200646,54.4628768
107,"The Bridges, Shams Abu Dhabi, Al Reem Island, Abu Dhabi",55000,1,1,Apartment,657,83.71385083713851,Low,Yearly,Unfurnished,For Rent,00:00.0,17,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
108,"Shakhbout City, Abu Dhabi",38000,1,1,Apartment,1050,36.19047619047619,Low,Yearly,Unfurnished,For Rent,00:00.0,15,Shakhbout City,Abu Dhabi,24.3594999,54.63233435459003
109,"Burj Al Shams, Shams Abu Dhabi, Al Reem Island, Abu Dhabi",70000,1,2,Apartment,900,77.77777777777777,Medium,Yearly,Unfurnished,For Rent,00:00.0,31,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
110,"Shakhbout City, Abu Dhabi",110000,3,5,Villa,3900,28.205128205128204,Medium,Yearly,Unfurnished,For Rent,00:00.0,18,Shakhbout City,Abu Dhabi,24.3594999,54.63233435459003
111,"Tourist Club Area (TCA), Abu Dhabi",75000,3,4,Apartment,1810,41.43646408839779,Medium,Yearly,Unfurnished,For Rent,00:00.0,17,Tourist Club Area (TCA),Abu Dhabi,24.495946,54.381815
112,"Al Ghadeer, Abu Dhabi",70000,2,2,Townhouse,1299,53.88760585065435,Medium,Yearly,Unfurnished,For Rent,00:00.0,19,Al Ghadeer,Abu Dhabi,24.84326945,55.02758961604496
113,"Danet Abu Dhabi, Abu Dhabi",95000,2,3,Apartment,1700,55.88235294117647,Medium,Yearly,Unfurnished,For Rent,00:00.0,16,Danet Abu Dhabi,Abu Dhabi,24.42934995,54.43619387355408
114,"Baniyas, Abu Dhabi",210000,6,8,Villa,6405,32.78688524590164,High,Yearly,Unfurnished,For Rent,00:00.0,18,Baniyas,Abu Dhabi,24.488919,54.3625614
115,"Rawdhat Abu Dhabi, Abu Dhabi",50000,1,1,Apartment,850,58.82352941,Low,Yearly,Unfurnished,For Rent,00:00.0,17,Rawdhat Abu Dhabi,Abu Dhabi,24.4200646,54.4628768
116,"Al Noor Tower, Al Reem Island, Abu Dhabi",95000,2,4,Apartment,1630,58.282208588957054,Medium,Yearly,Unfurnished,For Rent,00:00.0,16,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
117,"Mohammed Bin Zayed City, Abu Dhabi",24000,0,1,Apartment,689,34.83309143686502,Low,Yearly,Unfurnished,For Rent,00:00.0,17,Mohammed Bin Zayed City,Abu Dhabi,24.3339589,54.5535564
118,"Al Seef, Al Raha Beach, Abu Dhabi",209999,4,6,Apartment,3000,69.99966666666667,High,Yearly,Unfurnished,For Rent,00:00.0,18,Al Raha Beach,Abu Dhabi,24.48593095,54.60093932996362
119,"Al Muroor, Abu Dhabi",200000,6,7,Villa,8499,23.53218025650077,High,Yearly,Unfurnished,For Rent,00:00.0,17,Al Muroor,Abu Dhabi,24.4725056,54.376269
120,"Hamdan Street, Abu Dhabi",50000,1,1,Apartment,850,58.82352941,Low,Yearly,Unfurnished,For Rent,00:00.0,18,Hamdan Street,Abu Dhabi,24.2479318,55.717251
121,"RDK Residential Complex, Rawdhat Abu Dhabi, Abu Dhabi",78000,2,4,Apartment,1600,48.75,Medium,Yearly,Unfurnished,For Rent,00:00.0,17,Rawdhat Abu Dhabi,Abu Dhabi,24.4200646,54.4628768
122,"Oceanscape, Shams Abu Dhabi, Al Reem Island, Abu Dhabi",119998,2,3,Apartment,1510,79.46887417218544,Medium,Yearly,Furnished,For Rent,00:00.0,18,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
123,"Al Bateen, Abu Dhabi",140000,5,7,Villa,5700,24.56140350877193,Medium,Yearly,Unfurnished,For Rent,00:00.0,19,Al Bateen,Abu Dhabi,24.2048941,55.6196612
124,"Zone 26, Mohammed Bin Zayed City, Abu Dhabi",150000,4,5,Villa,4250,35.294117647058826,High,Yearly,Unfurnished,For Rent,00:00.0,18,Mohammed Bin Zayed City,Abu Dhabi,24.3339589,54.5535564
125,"Shakhbout City, Abu Dhabi",135000,5,5,Villa,4200,32.142857142857146,Medium,Yearly,Unfurnished,For Rent,00:00.0,17,Shakhbout City,Abu Dhabi,24.3594999,54.63233435459003
126,"Al Mushrif, Abu Dhabi",370000,7,9,Villa,6310,58.63708399366086,High,Yearly,Unfurnished,For Rent,00:00.0,17,Al Mushrif,Abu Dhabi,24.44108515,54.38421822124704
127,"RDK Residential Complex, Rawdhat Abu Dhabi, Abu Dhabi",57000,1,2,Apartment,950,60.0,Low,Yearly,Unfurnished,For Rent,00:00.0,17,Rawdhat Abu Dhabi,Abu Dhabi,24.4200646,54.4628768
